x,y
9.886883553901369970e-01,-1.302506873904444029e-01
9.887628940732648974e-01,-1.289551270446079034e-01
9.883316490264383303e-01,-1.287828475459084632e-01
9.876131580137785804e-01,-1.284959586527372188e-01
9.866077971879231301e-01,-1.280948250356153673e-01
9.853160932696160001e-01,-1.275799557662198880e-01
9.837387236499590681e-01,-1.269520028640102882e-01
9.818765165150842300e-01,-1.262117594469906179e-01
9.797304509882769352e-01,-1.253601575008757851e-01
9.773016572835975246e-01,-1.243982652838054453e-01
9.745914168641564013e-01,-1.233272843864445245e-01
9.716011625973783872e-01,-1.221485464698130324e-01
9.683324788988806331e-01,-1.208635097054559515e-01
9.647871018559801559e-01,-1.194737549445871044e-01
9.609669193213412619e-01,-1.179809816445936688e-01
9.568739709669082938e-01,-1.163870035827488658e-01
9.525104482880030199e-01,-1.146937443881442115e-01
9.478786945473418601e-01,-1.129032329236919208e-01
9.429812046487296984e-01,-1.110175985505745394e-01
9.378206249303019382e-01,-1.090390663077052402e-01
9.323997528674454749e-01,-1.069699520386248326e-01
9.267215366758877471e-01,-1.048126574977891884e-01
9.207890748059291974e-01,-1.025696654674049385e-01
9.146056153193833360e-01,-1.002435349148599053e-01
9.081745551414746043e-01,-9.783689621937098624e-02
9.014994391807202856e-01,-9.535244649476777579e-02
8.945839593106797993e-01,-9.279294503334029054e-02
8.874319532083689843e-01,-9.016120889344750311e-02
8.800474030451216345e-01,-8.746010865111598920e-02
8.724344340266810827e-01,-8.469256433318660127e-02
8.645973127803620040e-01,-8.186154154672933836e-02
8.565404455881593382e-01,-7.897004781645061700e-02
8.482683764657517056e-01,-7.602112913872288713e-02
8.397857850883709840e-01,-7.301786675768133505e-02
8.310974845655261234e-01,-6.996337416560889644e-02
8.222084190675402748e-01,-6.686079432659711164e-02
8.131236613077659214e-01,-6.371329711925871608e-02
8.038484098852034521e-01,-6.052407699112295064e-02
7.943879864930190049e-01,-5.729635081429236554e-02
7.847478329991444124e-01,-5.403335592902026169e-02
7.749335084057490386e-01,-5.073834835911475438e-02
7.649506856948659062e-01,-4.741460118051358391e-02
7.548051485678526351e-01,-4.406540302204508402e-02
7.445027880866601500e-01,-4.069405667531300619e-02
7.340495992250540835e-01,-3.730387778884281663e-02
7.234516773380128551e-01,-3.389819362013907211e-02
7.127152145574823239e-01,-3.048034181812774024e-02
7.018464961225256982e-01,-2.705366920762904137e-02
6.908518966516625781e-01,-2.362153054702836180e-02
6.797378763648525002e-01,-2.018728723019662386e-02
6.685109772621460333e-01,-1.675430590396501107e-02
6.571778192655227668e-01,-1.332595697308307237e-02
6.457450963298542179e-01,-9.905612965580491702e-03
6.342195725282862018e-01,-6.496646732808683544e-03
6.226080781166549727e-01,-3.102429460145460227e-03
6.109175055808098165e-01,2.736715336061554260e-04
5.991548056699800284e-01,3.628295227724030736e-03
5.873269834185392835e-01,6.958089578908387141e-03
5.754410941577652316e-01,1.025971446244003382e-02
5.635042395184312047e-01,1.352984488594295015e-02
5.515235634243356166e-01,1.676517448312307701e-02
5.395062480761724233e-01,1.996241929125879694e-02
5.274595099244994145e-01,2.311832181246786799e-02
5.153905956299611457e-01,2.622965535491966760e-02
5.033067780083924081e-01,2.929322864622782574e-02
